instance solosat solosat_v_3 
graphs/hc-10.col 0.0 0.01 
graphs/hc-11.col 0.01 0.01 
graphs/hc-12.col 0.0 0.02 
graphs/hc-13.col 0.01 0.01 
graphs/hc-14.col 0.01 0.02 
graphs/hc-15.col 0.02 0.03 
graphs/hc-20-3-1.col 0.03 0.06 
graphs/hc-20-3-2.col 0.06 0.06 
graphs/hc-20-3-3.col 0.04 0.06 
graphs/hc-20-4-1.col 0.04 0.07 
graphs/hc-20-4-2.col 0.05 0.06 
graphs/hc-20-4-3.col 0.04 0.06 
graphs/hc-20-5-1.col 0.03 0.13 
graphs/hc-20-5-2.col 0.05 0.05 
graphs/hc-20-5-3.col 0.04 0.05 
graphs/hc-20-6-1.col 0.04 0.05 
graphs/hc-20-6-2.col 0.04 0.05 
graphs/hc-20-6-3.col 0.04 0.05 
graphs/hc-20-7-1.col 0.05 0.05 
graphs/hc-20-7-2.col 0.04 0.04 
graphs/hc-20-7-3.col 0.04 0.05 
graphs/hc-22-3-1.col 0.07 0.1 
graphs/hc-22-3-2.col 0.08 0.07 
graphs/hc-22-3-3.col 0.09 0.07 
graphs/hc-22-4-1.col 0.07 0.07 
graphs/hc-22-4-2.col 0.05 0.11 
graphs/hc-22-4-3.col 0.06 0.08 
graphs/hc-22-5-1.col 0.06 0.13 
graphs/hc-22-5-2.col 0.07 0.07 
graphs/hc-22-5-3.col 0.06 0.07 
graphs/hc-22-6-1.col 0.05 0.08 
graphs/hc-22-6-2.col 0.06 0.06 
graphs/hc-22-6-3.col 0.07 0.1 
graphs/hc-22-7-1.col 0.05 0.06 
graphs/hc-22-7-2.col 0.08 0.06 
graphs/hc-22-7-3.col 0.05 0.09 
graphs/hc-24-3-1.col 0.1 0.14 
graphs/hc-24-3-2.col 0.11 0.13 
graphs/hc-24-3-3.col 0.08 0.13 
graphs/hc-24-4-1.col 0.08 0.14 
graphs/hc-24-4-2.col 0.1 0.18 
graphs/hc-24-4-3.col 0.12 0.09 
graphs/hc-24-5-1.col 0.08 0.14 
graphs/hc-24-5-2.col 0.09 0.15 
graphs/hc-24-5-3.col 0.07 0.1 
graphs/hc-24-6-1.col 0.08 0.16 
graphs/hc-24-6-2.col 0.09 0.09 
graphs/hc-24-6-3.col 0.07 0.08 
graphs/hc-24-7-1.col 0.08 0.15 
graphs/hc-24-7-2.col 0.07 0.1 
graphs/hc-24-7-3.col 0.07 0.1 
graphs/hc-26-3-1.col 0.17 0.24 
graphs/hc-26-3-2.col 0.11 0.22 
graphs/hc-26-3-3.col 0.17 0.5 
graphs/hc-26-4-1.col 0.12 0.22 
graphs/hc-26-4-2.col 0.12 0.21 
graphs/hc-26-4-3.col 0.15 0.16 
graphs/hc-26-5-1.col 0.12 0.14 
graphs/hc-26-5-2.col 0.11 0.18 
graphs/hc-26-5-3.col 0.11 0.14 
graphs/hc-26-6-1.col 0.09 0.2 
graphs/hc-26-6-2.col 0.09 0.16 
graphs/hc-26-6-3.col 0.1 0.16 
graphs/hc-26-7-1.col 0.1 0.16 
graphs/hc-26-7-2.col 0.11 0.12 
graphs/hc-26-7-3.col 0.09 0.11 
graphs/hc-28-3-1.col 0.25 0.46 
graphs/hc-28-3-2.col 0.46 0.64 
graphs/hc-28-3-3.col 0.55 0.62 
graphs/hc-28-4-1.col 0.15 0.16 
graphs/hc-28-4-2.col 0.23 0.33 
graphs/hc-28-4-3.col 0.14 0.34 
graphs/hc-28-5-1.col 0.15 0.37 
graphs/hc-28-5-2.col 0.15 0.33 
graphs/hc-28-5-3.col 0.18 0.27 
graphs/hc-28-6-1.col 0.14 0.22 
graphs/hc-28-6-2.col 0.13 0.14 
graphs/hc-28-6-3.col 0.17 0.2 
graphs/hc-28-7-1.col 0.13 0.14 
graphs/hc-28-7-2.col 0.14 0.22 
graphs/hc-28-7-3.col 0.13 0.18 
graphs/hc-30-3-1.col 0.7 0.54 
graphs/hc-30-3-2.col 0.38 0.69 
graphs/hc-30-3-3.col 0.36 0.43 
graphs/hc-30-4-1.col 0.22 0.34 
graphs/hc-30-4-2.col 0.23 0.34 
graphs/hc-30-4-3.col 0.22 0.28 
graphs/hc-30-5-1.col 0.24 0.43 
graphs/hc-30-5-2.col 0.18 0.52 
graphs/hc-30-5-3.col 0.19 0.31 
graphs/hc-30-6-1.col 0.23 0.23 
graphs/hc-30-6-2.col 0.21 0.24 
graphs/hc-30-6-3.col 0.19 0.27 
graphs/hc-30-7-1.col 0.17 0.32 
graphs/hc-30-7-2.col 0.17 0.2 
graphs/hc-30-7-3.col 0.16 0.25 
graphs/hc-32-3-1.col 0.88 1.55 
graphs/hc-32-3-2.col 0.72 0.93 
graphs/hc-32-3-3.col 0.96 0.98 
graphs/hc-32-4-1.col 1.04 0.52 
graphs/hc-32-4-2.col 0.38 0.5 
graphs/hc-32-4-3.col 0.27 0.44 
graphs/hc-32-5-1.col 0.25 0.39 
graphs/hc-32-5-2.col 0.21 0.41 
graphs/hc-32-5-3.col 0.25 0.31 
graphs/hc-32-6-1.col 0.23 0.32 
